chord_1,chord_2,chord_3,chord_4
vi<sup>7</sup>,V,IV<sup>6</sup><sub>4</sub>,I
vi<sup>7</sup>,V,IV<sup>6</sup><sub>4</sub>,vi<sup>7</sup>
vi<sup>7</sup>,V,iii<sup>6</sup>,V
vi<sup>7</sup>,V,ii<sup>6</sup><sub>5</sub>,ii
vi<sup>7</sup>,V,#iv°,IV
vi<sup>7</sup>,V,♭VII,IV<sup>7</sup>
vi<sup>7</sup>,IV,I,V
vi<sup>7</sup>,IV,I,vi<sup>7</sup>
vi<sup>7</sup>,IV,I,iii<sup>7</sup>
vi<sup>7</sup>,IV,I,V<sup>6</sup>
vi<sup>7</sup>,IV,I,♭VII
vi<sup>7</sup>,IV,I,vi
vi<sup>7</sup>,IV,I,ii<sup>7</sup>
vi<sup>7</sup>,IV,I,V<sup>6</sup>/vi
vi<sup>7</sup>,IV,I,♭III
vi<sup>7</sup>,IV,I,ii<sup>6</sup><sub>4</sub>
vi<sup>7</sup>,IV,I,II<sup>7</sup>
vi<sup>7</sup>,IV,V,vi<sup>7</sup>
vi<sup>7</sup>,IV,V,I
vi<sup>7</sup>,IV,V,vi
vi<sup>7</sup>,IV,V,V<sup>7</sup>/V
vi<sup>7</sup>,IV,V,IV
vi<sup>7</sup>,IV,V,iii
vi<sup>7</sup>,IV,V,V<sup>7</sup>
vi<sup>7</sup>,IV,V,ii
vi<sup>7</sup>,IV,V,V<sup>6</sup>/vi
vi<sup>7</sup>,IV,vi<sup>7</sup>,IV
vi<sup>7</sup>,IV,vi<sup>7</sup>,I
vi<sup>7</sup>,IV,vi<sup>7</sup>,I<sup>4</sup><sub>2</sub>
vi<sup>7</sup>,IV,vi<sup>7</sup>,V
vi<sup>7</sup>,IV,vi,vi<sup>7</sup>
vi<sup>7</sup>,IV,vi,IV<sup>6</sup>
vi<sup>7</sup>,IV,vi,I<sup>6</sup><sub>4</sub>
vi<sup>7</sup>,IV,vi<sup>4</sup><sub>2</sub>,vi<sup>7</sup>
vi<sup>7</sup>,IV,ii<sup>7</sup>,V
vi<sup>7</sup>,IV,ii<sup>7</sup>,IV
vi<sup>7</sup>,IV,ii<sup>7</sup>,iii<sup>7</sup>
vi<sup>7</sup>,IV,ii<sup>7</sup>,vi
vi<sup>7</sup>,IV,ii<sup>7</sup>,vi<sup>7</sup>
vi<sup>7</sup>,IV,iii,vi<sup>7</sup>
vi<sup>7</sup>,IV,iii,V
vi<sup>7</sup>,IV,iii,vi
vi<sup>7</sup>,IV,iii,ii
vi<sup>7</sup>,IV,ii,IV
vi<sup>7</sup>,IV,ii,vi<sup>7</sup>
vi<sup>7</sup>,IV,ii,I<sup>6</sup><sub>5</sub>
vi<sup>7</sup>,IV,V<sup>7</sup>/vi,vi<sup>7</sup>
vi<sup>7</sup>,IV,I<sup>6</sup>,ii<sup>7</sup>
vi<sup>7</sup>,IV,I<sup>6</sup>,V<sup>7</sup>
vi<sup>7</sup>,IV,I<sup>6</sup>,iv
vi<sup>7</sup>,IV,V<sup>7</sup>,I
vi<sup>7</sup>,IV,V<sup>7</sup>,IV
vi<sup>7</sup>,IV,IV<sup>7</sup>,I
vi<sup>7</sup>,IV,IV<sup>7</sup>,ii<sup>6</sup><sub>5</sub>
vi<sup>7</sup>,IV,vi<sup>6</sup><sub>4</sub>,V/iii
vi<sup>7</sup>,IV,vi<sup>6</sup><sub>4</sub>,V/vi
vi<sup>7</sup>,IV,iv,v
vi<sup>7</sup>,IV,vii°/vi,V<sup>7</sup>/vi
vi<sup>7</sup>,IV,I<sup>7</sup>,vi<sup>7</sup>
vi<sup>7</sup>,IV,♭VIIb7,V/vi
vi<sup>7</sup>,IV,V<sup>4</sup><sub>2</sub>,I<sup>6</sup>
vi<sup>7</sup>,IV,I<sup>6</sup><sub>4</sub>,I
vi<sup>7</sup>,IV,V#7,IV
vi<sup>7</sup>,IV,iv<sup>6</sup><sub>5</sub>,iii
vi<sup>7</sup>,IV,V<sup>6</sup>,V
vi<sup>7</sup>,ii<sup>7</sup>,vi<sup>7</sup>,ii<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,vi<sup>7</sup>,ii<sup>4</sup><sub>2</sub>
vi<sup>7</sup>,ii<sup>7</sup>,vi<sup>7</sup>,♭VI<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,vi<sup>7</sup>,♭VII<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,vi<sup>7</sup>,V<sup>7</sup>/vi
vi<sup>7</sup>,ii<sup>7</sup>,vi<sup>7</sup>,vi
vi<sup>7</sup>,ii<sup>7</sup>,vi<sup>7</sup>,I
vi<sup>7</sup>,ii<sup>7</sup>,vi<sup>7</sup>,♭III
vi<sup>7</sup>,ii<sup>7</sup>,vi<sup>7</sup>,iii<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,vi<sup>7</sup>,V
vi<sup>7</sup>,ii<sup>7</sup>,iii<sup>7</sup>,IV<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,iii<sup>7</sup>,vi<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,iii<sup>7</sup>,I<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,iii<sup>7</sup>,IV
vi<sup>7</sup>,ii<sup>7</sup>,iii<sup>7</sup>,ii<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,iii<sup>7</sup>,IVb7
vi<sup>7</sup>,ii<sup>7</sup>,iii<sup>7</sup>,I<sup>6</sup><sub>4</sub>
vi<sup>7</sup>,ii<sup>7</sup>,V<sup>7</sup>,I
vi<sup>7</sup>,ii<sup>7</sup>,V<sup>7</sup>,I<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,V<sup>7</sup>,vi<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,V<sup>7</sup>,I<sup>6</sup>
vi<sup>7</sup>,ii<sup>7</sup>,V<sup>7</sup>,iii<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,V<sup>7</sup>,V
vi<sup>7</sup>,ii<sup>7</sup>,V<sup>7</sup>,ii<sup>6</sup><sub>5</sub>
vi<sup>7</sup>,ii<sup>7</sup>,V<sup>7</sup>,ii<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,V<sup>7</sup>,V<sup>7</sup>/vi
vi<sup>7</sup>,ii<sup>7</sup>,V,I
vi<sup>7</sup>,ii<sup>7</sup>,V,I<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,V,vi<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,V,IV
vi<sup>7</sup>,ii<sup>7</sup>,V,vi
vi<sup>7</sup>,ii<sup>7</sup>,V,V<sup>4</sup><sub>2</sub>
vi<sup>7</sup>,ii<sup>7</sup>,V,V<sup>4</sup><sub>2</sub>
vi<sup>7</sup>,ii<sup>7</sup>,V,V<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,V,♭VI
vi<sup>7</sup>,ii<sup>7</sup>,V,vii°/vi
vi<sup>7</sup>,ii<sup>7</sup>,IV<sup>7</sup>,V
vi<sup>7</sup>,ii<sup>7</sup>,IV<sup>7</sup>,iii
vi<sup>7</sup>,ii<sup>7</sup>,IV<sup>7</sup>,iii<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,IV<sup>7</sup>,vi<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,IV<sup>7</sup>,IV<sup>7</sup>/IV
vi<sup>7</sup>,ii<sup>7</sup>,IV<sup>7</sup>,I<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,IV<sup>7</sup>,V<sup>7</sup>/vi
vi<sup>7</sup>,ii<sup>7</sup>,IV<sup>7</sup>,vi<sup>4</sup><sub>2</sub>
vi<sup>7</sup>,ii<sup>7</sup>,I,IV<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,I,vi<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,I,V<sup>7</sup>/vi
vi<sup>7</sup>,ii<sup>7</sup>,I,vii<sup>??</sup><sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,I,IV
vi<sup>7</sup>,ii<sup>7</sup>,I,vi
vi<sup>7</sup>,ii<sup>7</sup>,IV,vi
vi<sup>7</sup>,ii<sup>7</sup>,IV,vi<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,IV,iii<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,IV,I
vi<sup>7</sup>,ii<sup>7</sup>,IV,vii<sup>??</sup><sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,IV,V<sup>7</sup>/vi
vi<sup>7</sup>,ii<sup>7</sup>,V<sup>7</sup>/vi,vi<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,vii<sup>??</sup><sup>7</sup>,V<sup>7</sup>/vi
vi<sup>7</sup>,ii<sup>7</sup>,vii<sup>??</sup><sup>7</sup>,♭vii
vi<sup>7</sup>,ii<sup>7</sup>,vii<sup>??</sup><sup>7</sup>,IV<sup>7</sup>/IV
vi<sup>7</sup>,ii<sup>7</sup>,I<sup>6</sup><sub>4</sub>,IV<sup>6</sup><sub>4</sub>
vi<sup>7</sup>,ii<sup>7</sup>,I<sup>6</sup><sub>4</sub>,ii<sup>6</sup>
vi<sup>7</sup>,ii<sup>7</sup>,I<sup>6</sup><sub>4</sub>,V
vi<sup>7</sup>,ii<sup>7</sup>,I<sup>6</sup>,IV
vi<sup>7</sup>,ii<sup>7</sup>,I<sup>6</sup>,I<sup>6</sup><sub>4</sub>
vi<sup>7</sup>,ii<sup>7</sup>,ii<sup>6</sup><sub>4</sub>,vi<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,ii<sup>6</sup><sub>4</sub>,ii<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,vi<sup>4</sup><sub>2</sub>,iii<sup>6</sup><sub>5</sub>
vi<sup>7</sup>,ii<sup>7</sup>,vi<sup>4</sup><sub>2</sub>,V<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,vi<sup>4</sup><sub>2</sub>,I
vi<sup>7</sup>,ii<sup>7</sup>,iv<sup>7</sup>,♭VIIb7
vi<sup>7</sup>,ii<sup>7</sup>,iv<sup>7</sup>,I<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,V<sup>6</sup>,I<sup>6</sup>
vi<sup>7</sup>,ii<sup>7</sup>,V<sup>6</sup>,v<sup>6</sup>
vi<sup>7</sup>,ii<sup>7</sup>,ii,IV
vi<sup>7</sup>,ii<sup>7</sup>,ii,I<sup>6</sup>
vi<sup>7</sup>,ii<sup>7</sup>,vi,I
vi<sup>7</sup>,ii<sup>7</sup>,vi,V
vi<sup>7</sup>,ii<sup>7</sup>,vii°/iii,iii
vi<sup>7</sup>,ii<sup>7</sup>,vii°/iii,V<sup>7</sup>/vi
vi<sup>7</sup>,ii<sup>7</sup>,♭VII,V
vi<sup>7</sup>,ii<sup>7</sup>,♭VII,V<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,iii<sup>6</sup><sub>5</sub>,I<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,iv,I
vi<sup>7</sup>,ii<sup>7</sup>,v<sup>7</sup>,Ib7
vi<sup>7</sup>,ii<sup>7</sup>,ii<sup>4</sup><sub>2</sub>,V<sup>4</sup><sub>2</sub>
vi<sup>7</sup>,ii<sup>7</sup>,iii<sup>4</sup><sub>3</sub>,vi<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,V<sup>6</sup><sub>5</sub>/vi,V<sup>7</sup>/vi
vi<sup>7</sup>,ii<sup>7</sup>,vii<sup>7</sup>,♭VII<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,V<sup>6</sup><sub>4</sub>,ii<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,I<sup>6</sup><sub>5</sub>,IV<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,iii,vi<sup>7</sup>
vi<sup>7</sup>,ii<sup>7</sup>,V/vi,vi<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,IV<sup>7</sup>,V
vi<sup>7</sup>,iii<sup>7</sup>,IV<sup>7</sup>,I<sup>6</sup><sub>4</sub>
vi<sup>7</sup>,iii<sup>7</sup>,IV<sup>7</sup>,V<sup>7</sup>/vi
vi<sup>7</sup>,iii<sup>7</sup>,IV<sup>7</sup>,I<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,IV<sup>7</sup>,vi<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,IV<sup>7</sup>,iii<sup>6</sup><sub>5</sub>
vi<sup>7</sup>,iii<sup>7</sup>,IV<sup>7</sup>,V<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,IV<sup>7</sup>,ii<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,IV<sup>7</sup>,I
vi<sup>7</sup>,iii<sup>7</sup>,vi<sup>7</sup>,iii<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,vi<sup>7</sup>,ii<sup>6</sup>
vi<sup>7</sup>,iii<sup>7</sup>,vi<sup>7</sup>,v<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,vi<sup>7</sup>,IV
vi<sup>7</sup>,iii<sup>7</sup>,vi<sup>7</sup>,ii<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,vi<sup>7</sup>,I<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,vi<sup>7</sup>,ii
vi<sup>7</sup>,iii<sup>7</sup>,ii<sup>7</sup>,iii<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,ii<sup>7</sup>,V
vi<sup>7</sup>,iii<sup>7</sup>,ii<sup>7</sup>,V<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,ii<sup>7</sup>,vi<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,IV,I
vi<sup>7</sup>,iii<sup>7</sup>,IV,V
vi<sup>7</sup>,iii<sup>7</sup>,IV,iii<sup>6</sup><sub>5</sub>
vi<sup>7</sup>,iii<sup>7</sup>,IV,vi
vi<sup>7</sup>,iii<sup>7</sup>,IV,ii<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,v<sup>7</sup>,ii<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,I<sup>6</sup><sub>4</sub>,IV
vi<sup>7</sup>,iii<sup>7</sup>,V,vi
vi<sup>7</sup>,iii<sup>7</sup>,V,I
vi<sup>7</sup>,iii<sup>7</sup>,V,ii<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,v<sup>7</sup>,ii<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,I,♭VII
vi<sup>7</sup>,iii<sup>7</sup>,I,V
vi<sup>7</sup>,iii<sup>7</sup>,♭III<sup>7</sup>,ii<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,IV<sup>4</sup><sub>3</sub>,iii<sup>6</sup><sub>5</sub>
vi<sup>7</sup>,iii<sup>7</sup>,V<sup>6</sup>,I
vi<sup>7</sup>,iii<sup>7</sup>,I<sup>7</sup>,iii<sup>7</sup>
vi<sup>7</sup>,iii<sup>7</sup>,ii°,V
vi<sup>7</sup>,vi,vi<sup>7</sup>,vi
vi<sup>7</sup>,vi,vi<sup>7</sup>,I
vi<sup>7</sup>,vi,vi<sup>7</sup>,iii
vi<sup>7</sup>,vi,vi<sup>7</sup>,IV<sup>7</sup>
vi<sup>7</sup>,vi,vi<sup>7</sup>,iii<sup>6</sup><sub>5</sub>
vi<sup>7</sup>,vi,vi<sup>7</sup>,V/vii
vi<sup>7</sup>,vi,vi<sup>7</sup>,IV
vi<sup>7</sup>,vi,vi<sup>7</sup>,V
vi<sup>7</sup>,vi,V,iii<sup>7</sup>
vi<sup>7</sup>,vi,V,I<sup>6</sup><sub>4</sub>
vi<sup>7</sup>,vi,V,ii
vi<sup>7</sup>,vi,V,i<sup>6</sup>
vi<sup>7</sup>,vi,V,IV<sup>7</sup>
vi<sup>7</sup>,vi,IV<sup>6</sup>,vi
vi<sup>7</sup>,vi,IV<sup>6</sup>,IV
vi<sup>7</sup>,vi,IV<sup>6</sup>,iii<sup>4</sup><sub>3</sub>
vi<sup>7</sup>,vi,IV,V
vi<sup>7</sup>,vi,IV,I
vi<sup>7</sup>,vi,IV,IV<sup>4</sup><sub>2</sub>
vi<sup>7</sup>,vi,ii<sup>7</sup>,iii<sup>7</sup>
vi<sup>7</sup>,vi,ii<sup>7</sup>,V<sup>7</sup>
vi<sup>7</sup>,vi,ii<sup>7</sup>,vi<sup>7</sup>
vi<sup>7</sup>,vi,ii<sup>7</sup>,vi<sup>6</sup>
vi<sup>7</sup>,vi,ii<sup>7</sup>,V
vi<sup>7</sup>,vi,IV<sup>7</sup>,V<sup>4</sup><sub>2</sub>
vi<sup>7</sup>,vi,IV<sup>7</sup>,iii<sup>7</sup>
vi<sup>7</sup>,vi,IV<sup>7</sup>,IV
vi<sup>7</sup>,vi,I,iii
vi<sup>7</sup>,vi,I,ii
vi<sup>7</sup>,vi,I,ii<sup>7</sup>
vi<sup>7</sup>,vi,ii,V
vi<sup>7</sup>,vi,ii,V<sup>7</sup>/vi
vi<sup>7</sup>,vi,ii,IV
vi<sup>7</sup>,vi,ii,V/vi
vi<sup>7</sup>,vi,vi<sup>4</sup><sub>2</sub>,#iv°
vi<sup>7</sup>,vi,vi<sup>4</sup><sub>2</sub>,IV<sup>7</sup>
vi<sup>7</sup>,vi,vi<sup>4</sup><sub>2</sub>,vi
vi<sup>7</sup>,vi,iii<sup>6</sup>,V
vi<sup>7</sup>,vi,iii<sup>6</sup>,IV<sup>7</sup>
vi<sup>7</sup>,vi,♭III,IV
vi<sup>7</sup>,vi,V<sup>7</sup>/V,V<sup>7</sup>
vi<sup>7</sup>,vi,V<sup>7</sup>/V,ii<sup>7</sup>
vi<sup>7</sup>,vi,vi<sup>6</sup><sub>5</sub>,ii
vi<sup>7</sup>,vi,vi<sup>6</sup><sub>5</sub>,vi
vi<sup>7</sup>,vi,I<sup>7</sup>,vii
vi<sup>7</sup>,vi,I<sup>7</sup>,IV<sup>7</sup>
vi<sup>7</sup>,vi,iii,IV
vi<sup>7</sup>,vi,vi<sup>6</sup>,V/V
vi<sup>7</sup>,vi,vii<sup>7</sup>,iii<sup>7</sup>
vi<sup>7</sup>,vi,IV<sup>6</sup><sub>4</sub>,IV
vi<sup>7</sup>,vi,vii°<sup>6</sup>,V/vi
vi<sup>7</sup>,vi,V<sup>4</sup><sub>2</sub>/vi,iii<sup>4</sup><sub>3</sub>
vi<sup>7</sup>,vi,vii,vi
vi<sup>7</sup>,IV<sup>7</sup>,iii<sup>7</sup>,ii<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,iii<sup>7</sup>,vi<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,iii<sup>7</sup>,IV<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,iii<sup>7</sup>,vi
vi<sup>7</sup>,IV<sup>7</sup>,iii<sup>7</sup>,V<sup>7</sup>/vi
vi<sup>7</sup>,IV<sup>7</sup>,iii<sup>7</sup>,IV<sup>7</sup>/vi
vi<sup>7</sup>,IV<sup>7</sup>,V<sup>7</sup>,vi<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,V<sup>7</sup>,I
vi<sup>7</sup>,IV<sup>7</sup>,V<sup>7</sup>,iii<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,V<sup>7</sup>,I<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,ii<sup>7</sup>,V
vi<sup>7</sup>,IV<sup>7</sup>,ii<sup>7</sup>,iii<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,ii<sup>7</sup>,V/vi
vi<sup>7</sup>,IV<sup>7</sup>,ii<sup>7</sup>,vii<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,ii<sup>7</sup>,I<sup>6</sup><sub>5</sub>
vi<sup>7</sup>,IV<sup>7</sup>,ii<sup>7</sup>,vi<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,ii<sup>7</sup>,iii<sup>4</sup><sub>3</sub>
vi<sup>7</sup>,IV<sup>7</sup>,ii<sup>7</sup>,V<sup>6</sup>/vi
vi<sup>7</sup>,IV<sup>7</sup>,V,vi<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,V,vi
vi<sup>7</sup>,IV<sup>7</sup>,V,I<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,vi<sup>7</sup>,IV<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,vi<sup>7</sup>,vi
vi<sup>7</sup>,IV<sup>7</sup>,vi<sup>7</sup>,iii<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,vi<sup>7</sup>,ii<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,vi<sup>7</sup>,V#7
vi<sup>7</sup>,IV<sup>7</sup>,I,vi<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,I,ii<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,I,♭VIb7
vi<sup>7</sup>,IV<sup>7</sup>,V<sup>4</sup><sub>2</sub>,I<sup>6</sup>
vi<sup>7</sup>,IV<sup>7</sup>,V<sup>4</sup><sub>2</sub>,iii<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,iii,vi<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,iii,iii<sup>6</sup><sub>5</sub>
vi<sup>7</sup>,IV<sup>7</sup>,iii,IV<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,vi,V
vi<sup>7</sup>,IV<sup>7</sup>,I<sup>7</sup>,vii°/vi
vi<sup>7</sup>,IV<sup>7</sup>,I<sup>7</sup>,IV<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,I<sup>7</sup>,vi<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,iii<sup>6</sup><sub>5</sub>,iii<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,iii<sup>6</sup><sub>5</sub>,iii
vi<sup>7</sup>,IV<sup>7</sup>,ii<sup>6</sup><sub>5</sub>,I
vi<sup>7</sup>,IV<sup>7</sup>,V<sup>7</sup>/vi,vi<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,V<sup>7</sup>/vi,vi
vi<sup>7</sup>,IV<sup>7</sup>,IV,I
vi<sup>7</sup>,IV<sup>7</sup>,IV,vi<sup>6</sup><sub>5</sub>
vi<sup>7</sup>,IV<sup>7</sup>,V<sup>6</sup><sub>4</sub>,I<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,V/V,I
vi<sup>7</sup>,IV<sup>7</sup>,vii°/V,iii<sup>6</sup><sub>5</sub>
vi<sup>7</sup>,IV<sup>7</sup>,vi<sup>6</sup><sub>5</sub>,ii<sup>7</sup>
vi<sup>7</sup>,IV<sup>7</sup>,ii,iii
vi<sup>7</sup>,I,V,I
vi<sup>7</sup>,I,V,IV
vi<sup>7</sup>,I,V,ii
vi<sup>7</sup>,I,V,ii<sup>7</sup>
vi<sup>7</sup>,I,V,vi<sup>7</sup>
vi<sup>7</sup>,I,V,ii<sup>6</sup><sub>5</sub>
vi<sup>7</sup>,I,V,vi
vi<sup>7</sup>,I,V,V<sup>6</sup><sub>5</sub>/vi
vi<sup>7</sup>,I,IV,I
vi<sup>7</sup>,I,IV,V
vi<sup>7</sup>,I,IV,vi<sup>7</sup>
vi<sup>7</sup>,I,IV,I<sup>6</sup><sub>4</sub>
vi<sup>7</sup>,I,IV,vi
vi<sup>7</sup>,I,IV,V/vi
vi<sup>7</sup>,I,IV,iii<sup>6</sup><sub>5</sub>
vi<sup>7</sup>,I,IV,V<sup>4</sup><sub>2</sub>
vi<sup>7</sup>,I,ii<sup>7</sup>,IV
vi<sup>7</sup>,I,ii<sup>7</sup>,IV<sup>7</sup>
vi<sup>7</sup>,I,ii<sup>7</sup>,IV<sup>4</sup><sub>2</sub>
vi<sup>7</sup>,I,ii<sup>7</sup>,iii<sup>6</sup><sub>5</sub>
vi<sup>7</sup>,I,vi<sup>7</sup>,V
vi<sup>7</sup>,I,vi<sup>7</sup>,IV
vi<sup>7</sup>,I,vi<sup>7</sup>,IV<sup>6</sup><sub>5</sub>
vi<sup>7</sup>,I,vi<sup>7</sup>,I
vi<sup>7</sup>,I,vi<sup>7</sup>,ii<sup>7</sup>
vi<sup>7</sup>,I,IV<sup>7</sup>,V
vi<sup>7</sup>,I,IV<sup>7</sup>,I
vi<sup>7</sup>,I,ii,I<sup>6</sup>
vi<sup>7</sup>,I,ii,iii
vi<sup>7</sup>,I,ii,IV
vi<sup>7</sup>,I,ii,I
vi<sup>7</sup>,I,iii,V/V
vi<sup>7</sup>,I,iii,V
vi<sup>7</sup>,I,iii,vi<sup>7</sup>
vi<sup>7</sup>,I,iii,IV
vi<sup>7</sup>,I,V/V,vi<sup>7</sup>
vi<sup>7</sup>,I,V/V,IV
vi<sup>7</sup>,I,iii<sup>7</sup>,vi
vi<sup>7</sup>,I,V<sup>6</sup>,I
vi<sup>7</sup>,I,V<sup>6</sup>,vi<sup>7</sup>
vi<sup>7</sup>,I,iii<sup>6</sup>,ii<sup>7</sup>
vi<sup>7</sup>,I,I<sup>7</sup>,vii<sup>??</sup><sup>7</sup>/V
vi<sup>7</sup>,I,I<sup>7</sup>,IV<sup>6</sup><sub>4</sub>
vi<sup>7</sup>,I,iii<sup>6</sup><sub>4</sub>,vi
vi<sup>7</sup>,I,I<sup>6</sup><sub>4</sub>,IV<sup>6</sup><sub>4</sub>
vi<sup>7</sup>,I,i°<sup>6</sup><sub>4</sub>,vi<sup>7</sup>
vi<sup>7</sup>,I,V<sup>6</sup><sub>4</sub>,vi<sup>7</sup>
vi<sup>7</sup>,I,II<sup>7</sup>,IV
vi<sup>7</sup>,I,V<sup>7</sup>/V,V
vi<sup>7</sup>,I,vi<sup>6</sup><sub>5</sub>,vi<sup>7</sup>
vi<sup>7</sup>,I<sup>6</sup><sub>4</sub>,IV<sup>7</sup>,vi<sup>7</sup>
vi<sup>7</sup>,I<sup>6</sup><sub>4</sub>,IV<sup>7</sup>,I<sup>6</sup><sub>5</sub>
vi<sup>7</sup>,I<sup>6</sup><sub>4</sub>,IV<sup>7</sup>,V/vi
vi<sup>7</sup>,I<sup>6</sup><sub>4</sub>,IV<sup>7</sup>,ii<sup>7</sup>
vi<sup>7</sup>,I<sup>6</sup><sub>4</sub>,IV,IV<sup>4</sup><sub>2</sub>
vi<sup>7</sup>,I<sup>6</sup><sub>4</sub>,IV,I<sup>6</sup>
vi<sup>7</sup>,I<sup>6</sup><sub>4</sub>,IV,V
vi<sup>7</sup>,I<sup>6</sup><sub>4</sub>,IV,IV<sup>4</sup><sub>2</sub>
vi<sup>7</sup>,I<sup>6</sup><sub>4</sub>,IV,iv
vi<sup>7</sup>,I<sup>6</sup><sub>4</sub>,ii<sup>6</sup><sub>5</sub>,I<sup>6</sup>
vi<sup>7</sup>,I<sup>6</sup><sub>4</sub>,ii<sup>6</sup><sub>5</sub>,ii<sup>7</sup>
vi<sup>7</sup>,I<sup>6</sup><sub>4</sub>,ii<sup>6</sup><sub>5</sub>,V/vi
vi<sup>7</sup>,I<sup>6</sup><sub>4</sub>,ii<sup>7</sup>,vi<sup>7</sup>
vi<sup>7</sup>,I<sup>6</sup><sub>4</sub>,vi<sup>6</sup><sub>4</sub>,I<sup>6</sup><sub>4</sub>
